Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat,Diabetic_Suitability
"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",0.039999999,0.04,0.0,266,4.814,1
"USDA CMDTY,CHICK FAJITA STRIPS,FRZ",0.0,2.23,0.0,135,1.596,1
"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD",0.0,3.03,0.0,148,1.765,1
"USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ",1.200000048,3.1,0.0,118,1.2,1
"EMU,GROUND,RAW",0.0,0.0,0.0,134,1.022,1
"EMU,GROUND,CKD,PAN-BROILED",0.0,0.0,0.0,163,1.242,1
"EMU,FAN FILLET,RAW",0.0,0.0,0.0,103,0.201,1
"EMU,FAN FILLET,CKD,BRLD",0.0,0.0,0.0,154,0.583,1
"EMU,FLAT FILLET,RAW",0.0,0.0,0.0,102,0.187,1
"EMU,FULL RUMP,RAW",0.0,0.0,0.0,112,0.448,1
"EMU,FULL RUMP,CKD,BRLD",0.0,0.0,0.0,168,0.87,1
"EMU,INSIDE DRUM,RAW",0.0,0.0,0.0,108,0.386,1
"EMU,INSIDE DRUMS,CKD,BRLD",0.0,0.0,0.0,156,0.654,1
"EMU,OUTSIDE DRUM,RAW",0.0,0.0,0.0,103,0.122,1
"EMU,OYSTER,RAW",0.0,0.0,0.0,141,1.231,1
"EMU,TOP LOIN,CKD,BRLD",0.0,0.0,0.0,152,0.794,1
"OSTRICH,GROUND,RAW",0.0,0.0,0.0,165,2.177,1
"OSTRICH,GROUND,CKD,PAN-BROILED",0.0,0.0,0.0,175,1.793,1
"OSTRICH,FAN,RAW",0.0,0.0,0.0,117,0.95,1
"OSTRICH,INSIDE LEG,RAW",0.0,0.0,0.0,111,0.6,1
"OSTRICH,INSIDE LEG,CKD",0.0,0.0,0.0,141,0.7,1
"OSTRICH,INSIDE STRIP,RAW",0.0,0.0,0.0,127,0.923,1
"OSTRICH,INSIDE STRIP,CKD",0.0,0.0,0.0,164,1.71,1
"OSTRICH,OUTSIDE LEG,RAW",0.0,0.0,0.0,115,0.61,1
"OSTRICH,OUTSIDE STRIP,RAW",0.0,0.0,0.0,120,0.771,1
"OSTRICH,OUTSIDE STRIP,CKD",0.0,0.0,0.0,156,1.43,1
"OSTRICH,OYSTER,RAW",0.0,0.0,0.0,125,1.22,1
"OSTRICH,OYSTER,CKD",0.0,0.0,0.0,159,1.69,1
"OSTRICH,RND,RAW",0.0,0.0,0.0,116,0.81,1
"OSTRICH,TENDERLOIN,RAW",0.0,0.0,0.0,123,1.17,1
"OSTRICH,TIP RAW",0.0,0.0,0.0,114,0.86,1
"OSTRICH,TIP CKD",0.0,0.0,0.0,145,1.0,1
"OSTRICH,TOP LOIN,RAW",0.0,0.0,0.0,119,1.2,1
"OSTRICH,TOP LOIN,CKD",0.0,0.0,0.0,155,1.32,1
"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",0.0,1.11,0.0,172,2.033,1
"SOUP,CRM OF ASPARAGUS,CND,COND",0.720000029,8.52,0.400000006,69,0.82,1
"SOUP,BLACK BEAN,CND,COND",2.49000001,15.42,6.800000191,91,0.34,1
"CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND",0.790000021,4.76,0.0,40,0.397,1
"SOUP,BEAN W/ PORK,CND,COND",3.0,16.97,5.900000095,129,1.14,1
"SOUP,BEAN W/ FRANKFURTERS,CND,COND",0.0,16.75,4.599999905,142,1.61,1
"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",0.0,11.16,4.599999905,95,1.37,1
"SOUP,BF BROTH OR BOUILLON CND,RTS",0.0,0.04,0.0,7,0.11,1
"SOUP,BF NOODLE,CND,COND",2.059999943,7.16,0.600000024,67,0.91,1
"SOUP,CRM OF CELERY,CND,COND",1.350000024,7.03,0.600000024,72,1.12,1
"SOUP,CHS,CND,COND",0.600000024,8.19,0.800000012,121,5.19,0
"SOUP,CHICK W/ DUMPLINGS,CND,COND",0.460000008,4.93,0.400000006,79,1.07,1
"SOUP,CHICK BROTH,CND,COND",0.349999994,0.75,0.0,31,0.31,1
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",1.610000014,9.68,0.0,81,1.613,1
"SOUP,CHICK,CND,CHUNKY,RTS",0.870000005,6.88,0.600000024,71,0.79,1
"SOUP,CRM OF CHICK,CND,COND",0.540000021,7.16,0.0,90,1.602,1
"SOUP,CHICK GUMBO,CND,COND",1.929999948,6.67,1.600000024,45,0.26,1
"SOUP,CHUNKY CHICK NOODLE,CND,RTS",0.75,4.0,0.400000006,37,0.408,1
"SOUP,CHICK NOODLE,CND,COND",0.540000021,6.03,0.300000012,52,0.536,1
"SOUP,CHICK RICE,CND,CHUNKY,RTS",0.600000024,5.41,0.400000006,53,0.4,1
"SOUP,CHICK W/ RICE,CND,COND",0.159999996,5.84,0.5,49,0.37,1
"SOUP,CHICK VEG,CHUNKY,CND,RTS",0.0,7.87,0.0,69,0.6,1
"SOUP,CHICK VEG,CND,COND",1.25999999,7.01,0.699999988,61,0.69,1
"SOUP,CHILI BF,CND,COND",5.090000153,18.86,2.5,117,1.242,1
"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",1.669999957,7.84,1.200000048,56,0.88,1
"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",2.700000048,9.74,1.200000048,61,0.305,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK W/ RICE,COND",0.790000021,7.19,0.800000012,58,0.397,1
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND",0.379999995,10.32,0.699999988,72,0.959,1
"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",0.0,0.84,0.0,13,0.0,1
"SOUP,CRAB,CND,RTS",0.0,4.22,0.300000012,31,0.16,1
"SOUP,ESCAROLE,CND,RTS",0.0,0.72,0.0,11,0.22,1
"SOUP,GAZPACHO,CND,RTS",0.589999974,1.8,0.200000003,19,0.01,1
"SOUP,LENTIL W/HAM,CND,RTS",0.0,8.16,0.0,56,0.45,1
"CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND",1.610000014,9.68,0.800000012,89,1.613,1
"SOUP,MINESTRONE,CND,CHUNKY,RTS",2.170000076,8.64,2.400000095,53,0.62,1
"SOUP,MINESTRONE,CND,COND",1.5,9.17,0.800000012,68,0.44,1
"CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",0.790000021,7.94,0.800000012,56,0.794,1
"SOUP,MUSHROOM BARLEY,CND,COND",0.0,9.6,0.0,61,0.35,1
"SOUP,CRM OF MUSHROOM,CND,COND",1.460000038,6.72,0.0,85,1.38,1
"SOUP,MUSHROOM W/ BF STOCK,CND,COND",2.279999971,7.41,0.100000001,68,1.24,1
"SOUP,ONION,CND,COND",2.720000029,6.68,0.699999988,46,0.21,1
"SOUP,CRM OF ONION,CND,COND",3.640000105,10.4,0.400000006,88,1.17,1
"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",0.790000021,7.94,0.800000012,56,0.397,1
"SOUP,OYSTER STEW,CND,COND",0.0,3.32,0.0,48,2.04,1
"SOUP,PEA,GRN,CND,COND",6.519999981,20.18,3.900000095,125,1.07,1
"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",1.909999967,11.17,1.700000048,77,0.66,1
"SOUP,PEA,SPLIT W/ HAM,CND,COND",0.0,20.81,1.700000048,141,1.31,1
"SOUP,PEPPERPOT,CND,COND",0.0,7.66,0.400000006,84,1.68,1
"SOUP,CRM OF POTATO,CND,COND",1.690000057,9.14,0.400000006,59,0.97,1
"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",1.590000033,8.73,0.800000012,56,0.397,1
"SOUP,SCOTCH BROTH,CND,COND",0.0,7.73,1.0,66,0.91,1
"SOUP,CRM OF SHRIMP,CND,COND",0.0,6.53,0.200000003,72,2.58,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND",0.810000002,0.81,0.0,16,0.0,1
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND",1.590000033,7.94,0.800000012,48,0.397,1
"SOUP,STOCKPOT,CND,COND",0.0,8.95,0.0,78,0.67,1
"SOUP,TOMATO BF W/ NOODLE,CND,COND",0.0,16.87,1.200000048,112,1.27,1
"CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND",0.790000021,6.35,0.800000012,48,0.397,1
"SOUP,TOMATO RICE,CND,COND",5.900000095,17.08,1.299999952,93,0.4,1
"SOUP,TURKEY,CHUNKY,CND,RTS",0.0,5.96,0.0,57,0.52,1
"SOUP,TURKEY NOODLE,CND,COND",0.409999996,6.88,0.600000024,55,0.44,1
"SOUP,TURKEY VEG,CND,COND",1.090000033,7.05,0.5,60,0.73,1
"SOUP,CHUNKY VEG,CND,RTS",1.830000043,7.92,0.5,51,0.23,1
"SOUP,VEGETARIAN VEG,CND,COND",3.130000114,9.78,0.5,59,0.24,1
"SOUP,PEA,GRN,CND,COND,PREP W/ EQ VOLUME H2O",3.190000057,9.88,1.899999976,62,0.524,1
"SOUP,CHUNKY BF,CND,RTS",0.670000017,10.08,0.600000024,66,0.554,1
"SOUP,VEG BF,CND,COND",0.889999986,8.11,1.600000024,63,0.68,1
"SOUP,VEG W/ BF BROTH,CND,COND",1.639999986,10.7,1.299999952,66,0.36,1
"SOUP,BF BROTH OR BOUILLON,PDR,DRY",16.70999908,23.65,0.0,238,4.32,0
"SOUP,BEEF BROTH,CUBED,DRY",14.51000023,16.1,0.0,170,1.99,1
"SOUP,BF NOODLE,DRY,MIX",5.099999905,48.64,2.700000048,324,2.07,0
"SOUP,CHICK BROTH OR BOUILLON,DRY",17.36000061,18.01,0.0,267,3.43,0
"SOUP,CHICK BROTH CUBES,DRY",0.0,23.5,0.0,198,1.2,1
"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",1.590000033,9.52,0.800000012,63,0.794,1
"CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND",2.380000114,11.9,1.600000024,63,0.397,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND",0.810000002,0.81,0.0,12,0.0,1
"SOUP,ONION,DRY,MIX",4.650000095,65.07,6.599999905,293,0.089,0
"CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND",0.810000002,0.81,0.0,16,0.0,1
"SOUP,TOMATO VEG,DRY,MIX",3.769999981,59.9,3.0,325,2.32,0
"SOUP,CRM OF VEG,DRY,PDR",17.51000023,52.1,3.0,446,6.03,0
"SAUCE,CHS,DRY,PDR",25.12999916,33.66,1.100000024,448,12.05,0
"CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND",0.790000021,7.94,0.800000012,56,0.397,1
"SAUCE,TERIYAKI,RTS",14.10000038,15.56,0.100000001,89,0.0,1
"GRAVY,AU JUS,CANNED",0.0,2.5,0.0,16,0.1,1
"GRAVY,AU JUS,DRY",0.0,47.49,0.0,313,2.026,0
"GRAVY,BF,CND,RTS",0.209999993,4.81,0.400000006,53,1.153,1
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",3.130000114,19.53,6.300000191,133,1.172,1
"GRAVY,BROWN,DRY",0.0,59.38,2.0,367,3.319,0
"GRAVY,CHICK,CND,RTS",0.779999971,5.42,0.400000006,79,1.41,1
"GRAVY,CHICKEN,DRY",0.0,62.09,0.0,381,2.92,0
"GRAVY,MUSHROOM,CANNED",0.0,5.47,0.400000006,50,0.4,1
"GRAVY,MUSHROOM,DRY,PDR",3.25999999,64.66,4.800000191,328,2.36,0
"GRAVY,ONION,DRY,MIX",0.0,67.64,6.0,322,1.86,0
"GRAVY,PORK,DRY,PDR",24.72999954,63.57,2.400000095,367,4.29,0
"GRAVY,TURKEY,CND,RTS",0.209999993,5.1,0.400000006,51,0.62,1
"GRAVY,TURKEY,DRY",0.0,65.12,0.0,367,1.975,0
"GRAVY,UNSPEC TYPE,DRY",0.0,58.0,0.0,344,2.86,0
"SOUP,CHICK NOODLE,DRY,MIX",1.899999976,62.32,3.200000048,377,1.947,0
"SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",0.0,41.7,10.10000038,571,0.0,1
"SAUCE,SOFRITO,PREP FROM RECIPE",0.0,5.46,1.700000048,237,0.0,1
"USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND",4.699999809,8.7,0.0,48,0.162,1
"CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",0.790000021,6.35,0.800000012,56,0.397,1
"CAMPBELL,CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",1.590000033,11.9,2.400000095,71,0.794,1
"SOUP,BF MUSHROOM,CND,COND",0.0,5.2,0.200000003,61,1.2,1
"SOUP,CHICK MUSHROOM,CND,COND",1.309999943,7.6,0.200000003,109,1.92,1
"SAUCE,BARBECUE",26.05999947,36.25,0.600000024,150,0.0,0
"SAUCE,PLUM,READY-TO-SERVE",0.0,42.81,0.699999988,184,0.153,1
"SAUCE,PIZZA,CND,RTS",1.75,8.67,2.0,54,0.46,1
"SOUP,TOMATO BISQUE,CND,COND",0.0,18.47,0.800000012,96,0.42,1
"SOUP,TOMATO,CND,COND",8.109999657,13.41,1.200000048,60,0.155,1
"SAUCE,SALSA,RTS",3.059999943,6.26,1.600000024,27,0.03,1
"SAUCE,HOMEMADE,WHITE,THIN",4.769999981,7.4,0.100000001,105,2.152,1
"SAUCE,HOMEMADE,WHITE,MED",4.360000134,9.17,0.200000003,147,2.854,1
"SAUCE,HOMEMADE,WHITE,THICK",3.960000038,11.61,0.300000012,186,3.416,1
"SAUCE,RTS,PEPPER OR HOT",1.25999999,1.75,0.300000012,11,0.052,1
"SAUCE,RTS,PEPPER,TABASCO",0.129999995,0.8,0.600000024,12,0.106,1
"SOUP,STOCK,BEEF,HOME-PREPARED",0.540000021,1.2,0.0,13,0.035,1
"SOUP,STOCK,CHICK,HOME-PREPARED",1.580000043,3.53,0.0,36,0.321,1
"SOUP,STOCK,FISH,HOME-PREPARED",0.0,0.0,0.0,17,0.203,1
"SAUCE,HOISIN,RTS",27.26000023,44.08,2.799999952,220,0.568,0
"SAUCE,OYSTER,RTS",0.0,10.92,0.300000012,51,0.043,1
"SOUP,MINESTRONE,CND,RED NA,RTS",2.130000114,9.0,2.400000095,50,0.14,1
"USDA COMMODITY,SALSA",0.0,7.0,1.399999976,36,0.029,1
"SAUCE,FISH,READY-TO-SERVE",3.640000105,3.64,0.0,35,0.003,1
"SOUP,SHARK FIN,REST-PREP",0.0,3.8,0.0,46,0.501,1
"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",2.130000114,8.1,0.600000024,52,0.53,1
"SOUP,CHICK BROTH,CND,LESS/REDUCED NA",0.219999999,0.38,0.0,7,0.0,1
"SAUCE,TERIYAKI,RTS,RED NA",14.10000038,15.58,0.100000001,89,0.0,1
"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",3.170000076,13.66,4.0,74,0.252,1
"SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",5.059999943,11.83,1.899999976,71,0.3,1
"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",1.570000052,11.4,1.899999976,68,0.294,1
"SOUP,CHICK BROTH,CND,RTS",0.0,0.4,0.400000006,7,0.029,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND",1.610000014,9.68,0.800000012,65,0.806,1
"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK",0.0,6.61,0.300000012,65,1.34,1
"SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS",0.639999986,5.2,0.300000012,65,1.636,1
"CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND",0.810000002,8.06,1.600000024,56,0.403,1
"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK",0.0,5.86,0.300000012,66,1.59,1
"SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",0.0,6.47,0.400000006,92,3.63,1
"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CHIC NOODL,COND",0.790000021,6.35,0.800000012,48,0.397,1
"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND",9.680000305,16.13,0.800000012,73,0.0,1
"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND",0.810000002,7.26,1.600000024,89,0.403,1
"CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND",1.590000033,9.52,0.800000012,56,0.794,1
"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",0.0,6.04,0.100000001,77,1.87,1
"SOUP,VEG,CND,LO NA,COND",4.309999943,12.11,2.099999905,65,0.147,1
"CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CELERY SOUP,COND",0.810000002,6.45,0.800000012,48,0.806,1
"CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CHICK SOUP,COND",0.810000002,8.06,0.800000012,56,0.806,1
"CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS",7.690000057,13.08,3.099999905,85,0.769,1
"CAMPBELL,PREGO PASTA,CHUNKY GARDEN MUSHROOM ITALIAN SAU,RTS",7.690000057,10.0,2.299999952,69,0.385,1
"CAMPBELL SOUP,PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS",9.229999542,13.85,2.299999952,92,1.154,1
"CAMPBELL SOUP COMPANY,PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS",9.229999542,14.62,2.299999952,100,0.769,1
"CAMPBELL SOUP COMPANY,PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS",8.460000038,13.85,2.299999952,85,0.769,1
"CAMPBELL SOUP, PREGO PASTA,GARLIC SUPREME ITAL SAU,RTS",10.0,13.08,2.299999952,85,1.154,1
"CAMPBELL SOUP,PREGO PASTA,ITAL SAUSGE & GARLIC ITAL SAU,RTS",8.0,12.8,2.400000095,96,1.2,1
"CAMPBELL SOUP,PREGO PASTA,MINI MEATBALL ITAL SAU,RTS",9.229999542,15.38,2.299999952,115,1.538,1
"CAMPBELL SOUP,PREGO PASTA,MUSHRM & GRLIC ITAL SAU,RTS",10.0,13.85,2.299999952,77,0.385,1
"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",2.809999943,7.4,0.300000012,61,0.843,1
"CAMPBELL SOUP,PREGO PASTA,MUSHRM & PARMESAN ITALIAN SAU,RTS",10.39999962,17.6,2.400000095,104,1.2,1
"CAMPBELL SOUP,PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS",7.199999809,10.4,3.200000048,72,0.0,1
"CAMPBELL SOUP,PREGO PASTA,ORGNIC TOMATO & BASIL ITAL SAU,RTS",8.800000191,12.0,3.200000048,72,0.0,1
"CAMPBELL SOUP,PREGO PASTA,RICOTTA PARMESAN ITALIAN SAU,RTS",9.600000381,14.4,2.400000095,88,0.8,1
"CAMPBELL SOUP,PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS",8.460000038,13.08,2.299999952,85,0.769,1
"CAMPBELL SOUP,PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS",10.0,15.38,2.299999952,77,0.385,1
"CAMPBELL SOUP,PREGO PASTA,RSTD RED PEPPR & GRLC ITAL SAU,RTS",9.600000381,15.2,2.400000095,96,0.4,1
"CAMPBELL SOUP,PREGO PASTA,TOMATO,BASIL & GARLIC ITAL SAU,RTS",8.800000191,12.8,2.400000095,72,0.4,1
"CAMPBEL COMPANY,PREGO PASTA,ZESTY MUSHROOM ITALIAN SAU,RTS",9.229999542,13.85,2.299999952,85,0.769,1
"CAMPBELL SOUP COMPANY,CHNKY MICRO BOWLS,BF W/ CONTRY VEG,RTS",1.220000029,8.57,2.0,61,0.612,1
"CAMPBELL'S CHUNKY MICROWAVABLE BWLS,CHCK DMPLINGS SOUP",0.819999993,7.35,1.200000048,78,0.816,1
"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",3.329999924,5.66,0.0,67,1.317,1
"CAMPBELL SOUP COMPANY,CHNKY MICRO BOWLS,CLSSC CHIC NOODL,RTS",1.220000029,5.71,0.800000012,45,0.408,1
"CAMPBELL SOUP COMP,CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS",2.039999962,7.35,1.200000048,49,0.408,1
"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",0.0,7.4,0.300000012,75,1.63,1
"CAMPBELL SOUP COMP,CHNKY MICRO BOWL,GRLD CHIC W/VEG&PSTA,RTS",0.819999993,5.71,1.200000048,45,0.204,1
"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK",0.0,3.99,0.0,55,2.06,1
"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME MILK",0.0,12.69,1.100000024,94,1.58,1
"CAMPBELL SOUP COMPANY,CHNKY MICRO BOWL,NEW ENGL CLM CHOW,RTS",0.819999993,7.35,1.200000048,82,1.02,1
"CAMPBELL SOUP COMPANY,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS",1.629999995,5.31,1.200000048,45,0.204,1
"CAMPBELL SOUP,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS",1.629999995,7.35,1.600000024,65,0.816,1
"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK",0.0,6.92,0.200000003,60,1.52,1
"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",2.619999886,5.57,0.100000001,60,1.895,1
"SAUCE,WHITE,THIN,PREPARED-FROM-RECIPE,W/ BUTTER",5.289999962,8.29,0.100000001,72,1.6,1
"SAUCE,SWT & SOUR,PREPARED-FROM-RECIPE",10.81000042,16.72,0.400000006,79,0.144,1
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK W/ RICE SOUP,COND",0.790000021,10.32,0.800000012,56,0.397,1
"CAMPBELL SOUP,CAMPBELL'S RED&WHITE,CHICK WON TON SOUP,COND",0.790000021,6.35,0.0,48,0.397,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND",1.610000014,7.26,2.400000095,89,1.21,1
"SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND",0.569999993,5.2,0.800000012,41,0.4,1
"SOUP,HEALTHY CHOIC CHICK & RICE SOUP,CND",0.370000005,5.71,0.800000012,37,0.17,1
"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",2.130000114,10.04,1.899999976,51,0.05,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE BF GRAVY",0.0,5.08,0.0,25,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S COUNTRY STYLE CRM GRAVY",1.690000057,5.08,0.0,76,1.695,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S COUNTRY STYLE SAUSAGE GRAVY",1.690000057,5.08,0.0,119,2.542,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE CHICK GRAVY",0.0,5.08,0.0,25,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S GOLDEN PORK GRAVY",1.690000057,5.08,0.0,76,2.542,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S MUSHROOM GRAVY",1.690000057,5.08,0.0,34,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE TURKEY GRAVY",0.0,6.67,0.0,33,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE BF GRAVY",1.690000057,5.08,0.0,42,0.847,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE CHICK GRAVY",1.669999957,5.0,0.0,67,1.667,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S TURKEY GRAVY",1.690000057,5.08,0.0,42,0.847,1
"CAMPBELL SOUP COMPANY,FRANCO-AMERICN FAT FR SLW RST BF GRAVY",0.0,5.08,0.0,34,0.0,1
"CAMPBELL COMPANY,FRANCO-AMERICAN FT FE SLW RST CHICK GRVY",0.0,6.78,0.0,34,0.0,1
"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST BF GRAVY",0.0,5.08,0.0,42,0.0,1
"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST CHICK GRAVY",0.0,5.08,0.0,34,0.0,1
"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST TURKEY GRAVY",0.0,6.78,0.0,42,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE TURKEY GRAVY",1.669999957,5.0,0.0,42,0.833,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",2.420000076,9.68,0.800000012,73,0.806,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",0.810000002,7.26,2.400000095,73,0.403,1
"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF CHICK SOUP,COND",0.810000002,8.06,1.600000024,97,2.016,1
"CAMPBELL,CAMPBELL'S RED&WHITE,CRM OF CHIC W/ HERBS SOUP,COND",0.810000002,7.26,1.600000024,65,0.806,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF MUSHROOM SOUP,COND",0.810000002,7.26,1.600000024,81,1.21,1
"CAMPBELL,CAMPBELLS RED&WHITE,CRM OF MSHRM W/ RSTD GARLC,COND",0.810000002,8.87,1.600000024,56,0.806,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",3.230000019,8.06,2.400000095,81,1.21,1
"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF POTATO SOUP,COND",0.810000002,12.1,1.600000024,73,0.806,1
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",0.0,6.45,0.800000012,73,0.806,1
"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",0.810000002,8.87,3.200000048,97,1.21,1
"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK VERDE SOUP,COND",0.810000002,8.06,2.400000095,89,2.016,1
"COMPANY,CAMPBELL'S RED & WHITE,CURLY NOODLE SOUP,COND",1.590000033,8.73,0.800000012,63,0.0,1
"CAMPBELL'S RED & WHITE,DANNY PHANTOM SHAPED PASTA",0.790000021,7.94,0.800000012,56,0.397,1
"CAMPBELL'S RED & WHITE,DORA THE EXPLORER SOUP,COND",0.790000021,7.94,0.800000012,56,0.397,1
"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",1.590000033,13.49,1.600000024,79,0.397,1
"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",7.940000057,18.25,0.800000012,87,0.397,1
"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",1.610000014,8.06,0.800000012,97,2.419,1
"CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND",3.170000076,4.76,0.800000012,36,0.794,1
